lateralTopBlockRadius, strain percent, trial, regularization, mean axial strain, axial strain std, axial strain SNRe, mean lateral strain, lateral strain std, lateral strain SNRe
6, 11.0, 6, no_regularization, -0.013008492302, 0.373917662175, 0.0347897240968, -0.00827234740843, 0.577022965497, 0.0143362533263
6, 11.0, 7, no_regularization, 0.00319489788052, 0.410505607842, 0.00778283614033, -0.000521430137279, 0.6026943095, 0.000865165190812
6, 11.0, 8, no_regularization, -0.0214097915815, 0.371391501693, 0.0576474999667, 0.0076458290213, 0.458489640795, 0.0166761216416
6, 11.0, 9, no_regularization, 0.0415252490072, 0.412008576035, 0.100787341387, 0.0308549444448, 0.521264781727, 0.0591924594303
6, 11.0, 10, no_regularization, -0.011345236205, 0.336015735805, 0.0337640026821, -0.00484348518206, 0.4515359835, 0.0107266870395
6, 11.0, 6, regularization, -0.013148744388, 0.227592019528, 0.0577733103967, -0.0192897591908, 0.359348237303, 0.0536798492058
6, 11.0, 7, regularization, -0.00910331275444, 0.350828278249, 0.025948058691, 0.0268833717305, 0.508841157601, 0.0528325418039
6, 11.0, 8, regularization, 0.00071999109029, 0.263576385741, 0.0027316221378, -0.00894604367854, 0.334374542126, 0.026754559787
6, 11.0, 9, regularization, -0.0465058623138, 0.363595121168, 0.127905628008, 0.0076790345307, 0.513495967449, 0.0149544203216
6, 11.0, 10, regularization, 0.0182919768595, 0.279840529441, 0.0653657170248, -8.06771102133e-05, 0.351183910155, 0.00022972894794
18, 3.0, 6, no_regularization, -0.0347475401671, 0.00151258563191, 22.972279674, 0.00434207029359, 0.0726713907635, 0.0597493765838
18, 3.0, 7, no_regularization, -0.0344151800159, 0.00198014449839, 17.3801356638, 0.00256566249152, 0.077669714955, 0.0330329845166
18, 3.0, 8, no_regularization, -0.034549330624, 0.00252106984409, 13.7042338216, 0.0105289970045, 0.0546840213964, 0.192542478325
18, 3.0, 9, no_regularization, -0.0343749142473, 0.00157739977018, 21.792138491, 0.00307740410661, 0.0749361978202, 0.041066990268
18, 3.0, 10, no_regularization, -0.0349252466168, 0.00330800666553, 10.557792093, 0.0127893671696, 0.0472554868083, 0.270643009594
18, 3.0, 6, regularization, -0.0347275498819, 0.00214829484568, 16.1651692977, 0.0170466185568, 0.0043594162742, 3.91029841716
18, 3.0, 7, regularization, -0.0344093984063, 0.00244325196601, 14.0834424304, 0.0171502235315, 0.00433690537498, 3.95448414219
18, 3.0, 8, regularization, -0.0345303336668, 0.00256727001179, 13.4502150176, 0.0175991943216, 0.00481504492896, 3.65504259696
18, 3.0, 9, regularization, -0.0344053047166, 0.00225093330683, 15.2849063152, 0.0171446041046, 0.00484383089318, 3.53947205893
18, 3.0, 10, regularization, -0.0349476580115, 0.00302813018829, 11.5410024796, 0.0176843258292, 0.00537630473006, 3.28930868266
6, 7.0, 6, no_regularization, 0.00722301405639, 0.414215316148, 0.0174378246646, 0.023588062847, 0.555298605204, 0.0424781597251
6, 7.0, 7, no_regularization, 0.0105146611632, 0.345459859934, 0.0304367088125, 0.0403144372089, 0.403022176087, 0.10003031992
6, 7.0, 8, no_regularization, -0.0501600704815, 0.278397098559, 0.18017454471, 0.0255496173112, 0.268813986194, 0.0950457142242
6, 7.0, 9, no_regularization, 0.0112570965221, 0.444371361633, 0.0253326327797, 0.01128666848, 0.544687305104, 0.0207213723804
6, 7.0, 10, no_regularization, -0.00638999404697, 0.428118362288, 0.0149257649516, 0.00922882371585, 0.533571656607, 0.0172963155025
6, 7.0, 6, regularization, -0.0191416475993, 0.239248694737, 0.0800073230087, 0.0219443432764, 0.44269028267, 0.0495704200781
6, 7.0, 7, regularization, 0.0255009489069, 0.375331805185, 0.0679424140309, -0.00585150594738, 0.409719099738, 0.0142817504752
6, 7.0, 8, regularization, -0.0525407837509, 0.194672608187, 0.269893048848, 0.0262171741912, 0.222338005615, 0.117915846724
6, 7.0, 9, regularization, -0.0185396837146, 0.304359863011, 0.0609136945033, -0.0188230115429, 0.349651057952, 0.0538337039596
6, 7.0, 10, regularization, 0.00621980346647, 0.220259557684, 0.0282385179189, 0.0410697725078, 0.504990511911, 0.0813278102045
16, 11.0, 6, no_regularization, 0.00329333918124, 0.326629221072, 0.0100828063406, -0.0318112356424, 0.384403472351, 0.0827548082432
16, 11.0, 7, no_regularization, 0.0154036891209, 0.348992078222, 0.0441376469042, 0.0781929178394, 0.540921120275, 0.144555120717
16, 11.0, 8, no_regularization, -0.0195449789059, 0.374318550523, 0.0522148284627, 0.0533096082363, 0.830467693833, 0.0641922721764
16, 11.0, 9, no_regularization, 0.0117599070515, 0.46849907717, 0.025101238454, -0.0249670852258, 0.840983623139, 0.0296879565058
16, 11.0, 10, no_regularization, 0.00709356041987, 0.499662801486, 0.0141966950487, 0.0197730339625, 0.536813224752, 0.0368341036525
16, 11.0, 6, regularization, -0.00615639695082, 0.322471999724, 0.0190912605004, -0.0560363200498, 0.557594280743, 0.100496583242
16, 11.0, 7, regularization, 0.0404484044033, 0.360936431302, 0.112065175182, 0.101340063936, 0.43484991981, 0.233046067894
16, 11.0, 8, regularization, -0.0160510583239, 0.282189935113, 0.0568803359962, 0.0532878754067, 0.832265765509, 0.0640274748945
16, 11.0, 9, regularization, 0.00747645907231, 0.257461569869, 0.0290391264068, -0.0976709498439, 0.799517036577, 0.122162437291
16, 11.0, 10, regularization, 0.00626553279059, 0.340556157477, 0.01839794305, 0.00421981057853, 0.487996036523, 0.00864722305655
18, 7.0, 6, no_regularization, -0.0537833912966, 0.268420070484, 0.200370230138, 0.0506511235797, 0.254534008341, 0.198995505197
18, 7.0, 7, no_regularization, 0.0030417559794, 0.407802142269, 0.0074589014233, -0.0327752882593, 0.690946687051, 0.0474353360013
18, 7.0, 8, no_regularization, -0.00305660503887, 0.396584040273, 0.00770733244022, -0.0612157127071, 0.835319036474, 0.0732842303767
18, 7.0, 9, no_regularization, -0.0377152931612, 0.31999939013, 0.117860515752, 0.00912368896825, 0.356368111775, 0.0256018669089
18, 7.0, 10, no_regularization, -0.0104583235421, 0.42892375198, 0.0243827101993, -0.148964092055, 0.712740661174, 0.209001815344
18, 7.0, 6, regularization, -0.0505558890658, 0.21745171371, 0.232492483978, 0.0291736289299, 0.229840961016, 0.126929633434
18, 7.0, 7, regularization, -0.00708954776129, 0.267694546708, 0.0264837212729, -0.0302951570612, 0.593037480415, 0.0510847257748
18, 7.0, 8, regularization, 0.00364374354381, 0.304027378352, 0.0119849191331, -0.0617881512655, 0.770902616047, 0.0801503977018
18, 7.0, 9, regularization, -0.00195053459219, 0.270532976614, 0.00720996980332, -0.0796745007498, 0.731838134967, 0.10886902027
18, 7.0, 10, regularization, -0.0065124190033, 0.449463100646, 0.0144893295889, -0.0657007691276, 0.556219530483, 0.118120212483
12, 5.0, 6, no_regularization, -0.022935190011, 0.191599625823, 0.119703730696, 0.00652396291927, 0.199907167823, 0.0326349624695
12, 5.0, 7, no_regularization, -0.0612294522574, 0.133679242263, 0.458032610156, 0.0138282583339, 0.135277848372, 0.102221158159
12, 5.0, 8, no_regularization, -0.0549074610002, 0.0968165975128, 0.567128595827, 0.0169579009484, 0.11016374343, 0.153933593943
12, 5.0, 9, no_regularization, -0.0559002600505, 0.1687996515, 0.331163361735, 0.0134683939775, 0.171801983213, 0.0783948690557
12, 5.0, 10, no_regularization, -0.00245787393916, 0.274631677826, 0.00894971023961, 0.0174639678173, 0.30345385309, 0.0575506543727
12, 5.0, 6, regularization, -0.0446251029888, 0.111305605767, 0.400924128497, 0.0184112543084, 0.145199422281, 0.126799776605
12, 5.0, 7, regularization, -0.0640524203635, 0.0914179606834, 0.70065466222, 0.0208822616017, 0.102809288272, 0.203116488332
12, 5.0, 8, regularization, -0.0519815927045, 0.0649538972843, 0.800284430616, 0.0204974679746, 0.0767719587155, 0.266991598464
12, 5.0, 9, regularization, -0.0609585294191, 0.0373300912102, 1.63295956272, 0.0230095378964, 0.0801325631473, 0.287143415769
12, 5.0, 10, regularization, 0.00295194215357, 0.212662849754, 0.0138808548695, 0.0245130037781, 0.259656564863, 0.0944054843791
14, 7.0, 6, no_regularization, -0.048414608291, 0.397835271128, 0.121695113039, -0.00431559885251, 0.402929082547, 0.0107105667956
14, 7.0, 7, no_regularization, 0.026028713184, 0.409147427792, 0.0636169542224, -0.0221500203867, 0.557487817126, 0.0397318465197
14, 7.0, 8, no_regularization, -0.00108370515793, 0.479422151366, 0.00226044031307, -0.000455989256244, 0.368059808458, 0.00123889989009
14, 7.0, 9, no_regularization, -0.0608636737571, 0.188226458231, 0.323353445255, 0.0139042285647, 0.214831270254, 0.064721623385
14, 7.0, 10, no_regularization, 0.0136595232323, 0.356664480601, 0.0382979634228, 0.0404317497684, 0.612395504034, 0.0660222838052
14, 7.0, 6, regularization, -0.0295454977577, 0.383737583234, 0.0769940163502, -0.00671695848838, 0.406125679298, 0.0165391129662
14, 7.0, 7, regularization, 0.0246255168813, 0.310226756645, 0.0793790875669, -0.0197570662997, 0.534105647647, 0.0369909331361
14, 7.0, 8, regularization, -0.0678541216209, 0.260123379379, 0.260853606403, 0.0193271743118, 0.282109824951, 0.0685093981223
14, 7.0, 9, regularization, -0.069662953651, 0.147432603437, 0.472507111908, 0.0339056682948, 0.183837719259, 0.184432598661
14, 7.0, 10, regularization, -0.0368376661211, 0.22781112718, 0.161702663856, 0.028611603961, 0.251829788006, 0.113614851474
8, 1.0, 6, no_regularization, -0.012521261478, 0.000796981851756, 15.7108489364, 0.00618229166664, 0.00705729481509, 0.876014369333
8, 1.0, 7, no_regularization, -0.0123164192954, 0.00124374013665, 9.90272721165, -0.00201254164634, 0.0548627122605, 0.0366832328082
8, 1.0, 8, no_regularization, -0.0120943662638, 0.00117757937826, 10.2705316406, 0.00578540050638, 0.00555298175799, 1.04185476533
8, 1.0, 9, no_regularization, -0.0119267355877, 0.000772826914114, 15.4326089968, 0.00600382510924, 0.0044986219086, 1.33459206646
8, 1.0, 10, no_regularization, -0.012074802997, 0.00154505153136, 7.8151458071, 0.00617905818919, 0.00674258966106, 0.916422101863
8, 1.0, 6, regularization, -0.0124815270964, 0.00100309158551, 12.4430583177, 0.00559056931555, 0.00310870534353, 1.79835934827
8, 1.0, 7, regularization, -0.0123196928071, 0.00123798419995, 9.95141360251, 0.00600761424381, 0.00252824016216, 2.37620394365
8, 1.0, 8, regularization, -0.0120812305999, 0.001220619162, 9.89762489069, 0.0057125140308, 0.00248306544022, 2.30058939981
8, 1.0, 9, regularization, -0.0119535335462, 0.00104286454405, 11.4622110938, 0.00587573128055, 0.00206024544161, 2.8519569377
8, 1.0, 10, regularization, -0.0120879356094, 0.00137108644664, 8.816319087, 0.00588122258116, 0.00251692352363, 2.3366711487
18, 11.0, 6, no_regularization, -0.106031228078, 0.427435154176, 0.248063892363, -0.195938130786, 0.778977901246, 0.251532335478
18, 11.0, 7, no_regularization, 0.00131728819235, 0.348239784082, 0.00378270448285, -0.0262299816875, 0.808286314059, 0.0324513495172
18, 11.0, 8, no_regularization, -0.0484982459841, 0.424079177428, 0.114361299883, -0.229137746018, 0.770323806644, 0.297456399558
18, 11.0, 9, no_regularization, -0.0709456968312, 0.461764045881, 0.153640582163, 0.0267481744616, 0.599519480626, 0.0446160222077
18, 11.0, 10, no_regularization, 0.00473074680718, 0.413455460252, 0.0114419744373, -0.177918407348, 0.830787460685, 0.21415634656
18, 11.0, 6, regularization, 0.0481090266918, 1.05190465368, 0.0457351590977, 0.0485338108058, 0.360058776636, 0.1347941335
18, 11.0, 7, regularization, -0.00618875153839, 0.420639815835, 0.0147127097945, -0.280339809161, 0.977883202983, 0.286680258241
18, 11.0, 8, regularization, -0.0319475787603, 0.258074766842, 0.123791950492, -0.139773675758, 0.620698719688, 0.225187633427
18, 11.0, 9, regularization, 0.00348567999782, 0.190535407634, 0.0182941325243, -0.0879200731304, 0.381724060761, 0.230323634709
18, 11.0, 10, regularization, 0.0241593770198, 0.343960528213, 0.0702388066018, 0.040548001867, 0.728269557305, 0.0556771891126
10, 3.0, 6, no_regularization, -0.0347485448097, 0.00151216372625, 22.9793534962, 0.00578911458795, 0.0675901227955, 0.0856503043419
10, 3.0, 7, no_regularization, -0.0344150088311, 0.0019833874235, 17.3516320732, 0.00236554644732, 0.0781217160613, 0.030280267339
10, 3.0, 8, no_regularization, -0.0345494466197, 0.00252097851303, 13.7047763165, 0.00992721052504, 0.0568617265849, 0.17458510533
10, 3.0, 9, no_regularization, -0.0343748454951, 0.00157600767277, 21.8113439985, 0.0029017837345, 0.0753793458109, 0.038495740488
10, 3.0, 10, no_regularization, -0.0349256900524, 0.00332141378921, 10.5153083202, 0.0117303006632, 0.0515580480869, 0.227516383929
10, 3.0, 6, regularization, -0.0347282662062, 0.00214863398008, 16.1629512184, 0.0168205742573, 0.00503979570477, 3.3375508141
10, 3.0, 7, regularization, -0.0344113997889, 0.00244029332679, 14.1013374954, 0.0171972203278, 0.00430464589579, 3.99503716313
10, 3.0, 8, regularization, -0.0345304363873, 0.00256321559117, 13.4715302553, 0.0176060720028, 0.00484640354445, 3.6328118039
10, 3.0, 9, regularization, -0.0344055049724, 0.00224225304124, 15.3441669337, 0.017191295589, 0.00482998861803, 3.55928283657
10, 3.0, 10, regularization, -0.0349484820008, 0.00302655405974, 11.5472849026, 0.0176377564431, 0.00544268789373, 3.2406334494
12, 9.0, 6, no_regularization, 0.0112332807031, 0.454659327707, 0.0247070279186, -0.00462515198179, 0.575985262898, 0.00802998319527
12, 9.0, 7, no_regularization, 0.0400590627604, 0.471573070837, 0.0849477318315, -0.00670566693708, 0.650526643483, 0.0103080588693
12, 9.0, 8, no_regularization, -0.0229067372763, 0.322017976403, 0.071134964365, 0.027260229018, 0.416291820231, 0.0654834606235
12, 9.0, 9, no_regularization, -0.0374254344999, 0.328863596612, 0.113802302491, -0.0407032455386, 0.381788915432, 0.106611910124
12, 9.0, 10, no_regularization, -0.0340338814563, 0.425064110459, 0.0800676430187, 0.00328025769969, 1.02013190454, 0.00321552309568
12, 9.0, 6, regularization, 0.0134869640798, 0.394043139246, 0.0342271257549, 0.00882015202167, 0.516857130533, 0.0170649711509
12, 9.0, 7, regularization, -0.00318940066625, 0.275715966986, 0.0115677038988, -0.0174732953874, 0.370751795814, 0.0471293614343
12, 9.0, 8, regularization, -0.0404256287021, 0.294873961532, 0.137094603037, 0.0422678739678, 0.311917166122, 0.13550993199
12, 9.0, 9, regularization, -0.0367877979987, 0.247584590329, 0.148586783813, -0.0423830381639, 0.353559396976, 0.119875298257
12, 9.0, 10, regularization, -0.0337942864137, 0.284247622993, 0.118890304369, -0.000740935709825, 1.00477944962, 0.00073741128972
14, 1.0, 6, no_regularization, -0.0125214943736, 0.000795608160572, 15.7382678989, 0.00630711960573, 0.00653981851748, 0.964418139261
14, 1.0, 7, no_regularization, -0.0123162519368, 0.0012430930503, 9.90774739978, -0.00160541796121, 0.0535315595113, 0.0299901212642
14, 1.0, 8, no_regularization, -0.012094368174, 0.00117544841469, 10.2891526527, 0.00576513147292, 0.00555033468784, 1.03869978968
14, 1.0, 9, no_regularization, -0.0119265164891, 0.000773240552283, 15.4240701084, 0.00600763425103, 0.00449814219596, 1.33558122205
14, 1.0, 10, no_regularization, -0.0120745924504, 0.00154415485312, 7.81954764837, 0.00617962327809, 0.0067378865302, 0.917145643577
14, 1.0, 6, regularization, -0.0124816427856, 0.0010013978973, 12.4642190875, 0.00568235680116, 0.00284474541013, 1.99749221176
14, 1.0, 7, regularization, -0.012319466682, 0.00123841917995, 9.94773569525, 0.00604383697919, 0.00252753674558, 2.39119648399
14, 1.0, 8, regularization, -0.0120811090572, 0.00121908444422, 9.9099854112, 0.00567918333698, 0.0025374886611, 2.23811180875
14, 1.0, 9, regularization, -0.0119531451999, 0.001042222314, 11.4689016338, 0.00588162774792, 0.00206036015292, 2.8546600164
14, 1.0, 10, regularization, -0.0120878570363, 0.0013699814416, 8.82337283503, 0.00588128576375, 0.00251104262392, 2.34216882968
12, 7.0, 6, no_regularization, -0.00955541855109, 0.337360577513, 0.0283240520322, -0.039347939157, 0.716114310874, 0.0549464499725
12, 7.0, 7, no_regularization, 0.00408646134777, 0.380567079597, 0.0107378214429, 0.0453909295203, 0.444093155186, 0.102210378589
12, 7.0, 8, no_regularization, -0.0353620976373, 0.369299907927, 0.0957544176922, 0.00867575077425, 0.324880898536, 0.0267044040242
12, 7.0, 9, no_regularization, -0.0390984530165, 0.257194318051, 0.152019116568, 0.0215814784374, 0.29563832728, 0.0729995959455
12, 7.0, 10, no_regularization, -0.00951489122173, 0.374816367696, 0.0253854741729, -0.0465157982716, 0.4311176327, 0.107895838035
12, 7.0, 6, regularization, -0.0187575881963, 0.245516877422, 0.0764004022587, -0.0284805416742, 0.511300846496, 0.0557021211082
12, 7.0, 7, regularization, 0.00841009707795, 0.330373380662, 0.0254563399179, 0.0481352492961, 0.4532256035, 0.106205935685
12, 7.0, 8, regularization, 0.0211863780963, 0.449202440184, 0.0471644323384, 0.0119423024688, 0.332577634059, 0.0359083150693
12, 7.0, 9, regularization, -0.0672206447509, 0.126436028689, 0.531657356277, 0.0225657811103, 0.544559650195, 0.0414385845558
12, 7.0, 10, regularization, -0.0462279051778, 0.253655281606, 0.182246964799, 0.0292741198031, 0.283898641181, 0.103114687979
16, 1.0, 6, no_regularization, -0.0125210210287, 0.000795768058463, 15.7345106976, 0.00630694219871, 0.00653340069459, 0.9653383427
16, 1.0, 7, no_regularization, -0.0123160686635, 0.00124274177067, 9.91040049846, -0.00171245026894, 0.0534808924522, 0.0320198521458
16, 1.0, 8, no_regularization, -0.0120942387275, 0.00117619186602, 10.2825389946, 0.00575856100883, 0.00554429463231, 1.03864628248
16, 1.0, 9, no_regularization, -0.0119265757703, 0.000773150959404, 15.4259341274, 0.00601119222144, 0.00449950605959, 1.33596713546
16, 1.0, 10, no_regularization, -0.0120744483615, 0.00154197514092, 7.83050779549, 0.00617991071042, 0.00666693717788, 0.926948994048
16, 1.0, 6, regularization, -0.012481271205, 0.00100193228526, 12.4572003404, 0.00568086890421, 0.00284830338299, 1.99447465398
16, 1.0, 7, regularization, -0.0123191928461, 0.00123931099187, 9.94035631648, 0.00599998246236, 0.00252410218362, 2.37707589704
16, 1.0, 8, regularization, -0.0120809656833, 0.00121904301711, 9.91020457336, 0.00567272309438, 0.00253458577774, 2.23812630222
16, 1.0, 9, regularization, -0.011953141441, 0.00104194835731, 11.4719135139, 0.00588567668158, 0.0020579661042, 2.85994830992
16, 1.0, 10, regularization, -0.0120878410717, 0.0013691731724, 8.82856991019, 0.00587938227342, 0.00251039587981, 2.34201399098
6, 9.0, 6, no_regularization, -0.00517484241695, 0.367123964222, 0.0140956268761, -0.000573303101597, 0.689255836251, 0.000831771123935
6, 9.0, 7, no_regularization, 0.0246266610898, 0.345624339305, 0.0712526818549, 0.00930948039238, 0.484775781335, 0.0192036829207
6, 9.0, 8, no_regularization, -0.00142806987526, 0.342498180413, 0.00416956923257, -0.00777454578634, 0.48287072211, 0.016100677532
6, 9.0, 9, no_regularization, -0.0244290630833, 0.290636748017, 0.084053593532, -0.0298984335621, 0.397621509105, 0.0751931997576
6, 9.0, 10, no_regularization, 0.0519081010368, 0.376494885587, 0.137871995142, 0.0198916517707, 0.410571650523, 0.0484486733202
6, 9.0, 6, regularization, -0.0273150486375, 0.270695261207, 0.100907007074, -0.00381705808006, 0.427724490314, 0.00892410457317
6, 9.0, 7, regularization, 0.00499248130432, 0.483038901449, 0.0103355677759, 0.0188046101883, 0.418046700153, 0.0449820801874
6, 9.0, 8, regularization, -0.0346598258578, 0.265840375835, 0.130378336056, -0.00528395405444, 0.377963315673, 0.0139800711745
6, 9.0, 9, regularization, -0.0414137862087, 0.291445519253, 0.142097865546, -0.0189622597661, 0.456842375459, 0.041507226091
6, 9.0, 10, regularization, 0.051253327092, 0.298303587597, 0.171815992911, 0.0291890123297, 0.369628236545, 0.0789685674518
12, 0.5, 6, no_regularization, -0.0063508858543, 0.000594420840232, 10.6841574596, 0.00280944669477, 0.00291526218121, 0.963702926236
12, 0.5, 7, no_regularization, -0.00616736445862, 0.000820545834729, 7.51617301264, 0.00267523928071, 0.00614456960977, 0.435382695715
12, 0.5, 8, no_regularization, -0.00631555189044, 0.000705360956362, 8.95364541158, 0.0029170864442, 0.00323114137703, 0.902803716649
12, 0.5, 9, no_regularization, -0.00604718691816, 0.000591616597622, 10.2214625865, 0.00280447913071, 0.00330608202218, 0.848278751677
12, 0.5, 10, no_regularization, -0.00615627958688, 0.000987987428618, 6.2311314988, 0.0032837033862, 0.00506019208456, 0.648928604157
12, 0.5, 6, regularization, -0.00633239114881, 0.00124960176135, 5.06752738727, 0.00283938806469, 0.00223880442708, 1.26826087636
12, 0.5, 7, regularization, -0.00617485416524, 0.00134018119935, 4.60747708462, 0.00275809132385, 0.00265710542522, 1.03800598112
12, 0.5, 8, regularization, -0.00629555414369, 0.00127788684342, 4.92653490888, 0.0030746686501, 0.0022014225297, 1.39667356385
12, 0.5, 9, regularization, -0.00603770029725, 0.0014092489872, 4.28433892952, 0.00274107985031, 0.00237446542683, 1.15439872038
12, 0.5, 10, regularization, -0.00615877523209, 0.00143025796475, 4.30605903541, 0.00305885511308, 0.00241758160412, 1.26525413159
16, 7.0, 6, no_regularization, 0.0240336083135, 0.381720599271, 0.0629612558488, -0.0378608976928, 0.870855376399, 0.0434755284504
16, 7.0, 7, no_regularization, 0.037253102653, 0.564196993026, 0.0660285381054, -0.0216125805246, 0.425279465629, 0.0508197133211
16, 7.0, 8, no_regularization, -0.00499282612644, 0.324242245281, 0.015398444216, 0.0108258164225, 0.369103126549, 0.0293300588476
16, 7.0, 9, no_regularization, 0.0177229394026, 0.453592119023, 0.0390724147518, 0.0153657008248, 0.590857682147, 0.0260057561899
16, 7.0, 10, no_regularization, 0.0073288920504, 0.443385686604, 0.0165293834957, -0.0118620295979, 0.620072138366, 0.0191300799762
16, 7.0, 6, regularization, 0.0248070231973, 0.265625674523, 0.0933909089993, -0.0344621020402, 1.01898239029, 0.0338201154099
16, 7.0, 7, regularization, 0.0336637923526, 0.5069932513, 0.0663988963685, -0.00867857170409, 0.394481917682, 0.0219999227216
16, 7.0, 8, regularization, -0.0104790232798, 0.243118522584, 0.0431025294512, 0.0156326536011, 0.340074701675, 0.0459682932136
16, 7.0, 9, regularization, 0.0164060841592, 0.329882924747, 0.0497330505111, 0.0284760225715, 0.518864774711, 0.0548813948439
16, 7.0, 10, regularization, 0.00251265642405, 0.351615543453, 0.00714603341871, 0.00783809457774, 0.574996839347, 0.0136315437606
16, 3.0, 6, no_regularization, -0.0347474385101, 0.00151289695287, 22.9674852899, 0.00437810842224, 0.0724786694959, 0.060405474503
16, 3.0, 7, no_regularization, -0.0344153170111, 0.00198059793185, 17.3762258648, 0.00262362140909, 0.0773688870911, 0.0339105486422
16, 3.0, 8, no_regularization, -0.0345497111519, 0.00251887520519, 13.7163250806, 0.0105455895898, 0.0546953721359, 0.192805884264
16, 3.0, 9, no_regularization, -0.0343747391639, 0.00157619159661, 21.8087313991, 0.00304749298322, 0.0750354037328, 0.0406140679148
16, 3.0, 10, no_regularization, -0.0349256709399, 0.00330646506174, 10.5628428813, 0.0122182569341, 0.0495628935319, 0.246520250603
16, 3.0, 6, regularization, -0.0347274383974, 0.00214813771862, 16.1662998123, 0.017045937993, 0.00435925552825, 3.91028648872
16, 3.0, 7, regularization, -0.0344106689229, 0.0024436266744, 14.0818027907, 0.0171976314233, 0.00426951888727, 4.02800218887
16, 3.0, 8, regularization, -0.0345304477108, 0.00256538218712, 13.4601572756, 0.0176033187417, 0.00481746167313, 3.65406513556
16, 3.0, 9, regularization, -0.0344048987356, 0.00224149915817, 15.3490571746, 0.0171686257866, 0.00481042363273, 3.56904653258
16, 3.0, 10, regularization, -0.034947781494, 0.00302540300998, 11.5514466597, 0.017639013729, 0.00543899707641, 3.24306365331
8, 7.0, 6, no_regularization, -0.0157089041526, 0.306575174632, 0.0512399745721, 0.0311680334381, 0.30938767201, 0.100741032232
8, 7.0, 7, no_regularization, -0.0376787413619, 0.561613639554, 0.067090146514, -0.0357998524938, 0.465589087513, 0.0768915196982
8, 7.0, 8, no_regularization, -0.0151541167321, 0.387961459789, 0.0390608818215, -0.0256541280098, 0.622043427871, 0.0412416993097
8, 7.0, 9, no_regularization, 0.0552668534837, 0.363079913516, 0.152216774948, -0.0156912437889, 0.448414728683, 0.0349927038191
8, 7.0, 10, no_regularization, 0.0197685783798, 0.423825655138, 0.046643184857, 0.00403191981603, 0.414054146002, 0.00973766318961
