axialTopFactor, strain percent, trial, regularization, mean axial strain, axial strain std, axial strain SNRe, mean lateral strain, lateral strain std, lateral strain SNRe
1.8, 5.0, 6, no_regularization, -0.0353695484927, 0.133013563455, 0.265909337167, 0.012992741413, 0.133031972352, 0.097666306703
1.8, 5.0, 7, no_regularization, -0.0563488826771, 0.0713325936898, 0.789945798441, 0.0195965705982, 0.0863761647341, 0.226874747895
1.8, 5.0, 8, no_regularization, -0.0501457100645, 0.0967557191775, 0.518271276269, 0.0266811269675, 0.0973230480968, 0.274150136985
1.8, 5.0, 9, no_regularization, -0.0563938812307, 0.00239435933843, 23.5528060995, 0.0161289130669, 0.0770541710021, 0.209319143366
1.8, 5.0, 10, no_regularization, -0.0564468421156, 0.064569006149, 0.874209554742, 0.0171840098872, 0.110315637439, 0.155771296674
1.8, 5.0, 6, regularization, -0.0328991442879, 0.105066694454, 0.313126290483, 0.0261897612416, 0.0962815046566, 0.272012380104
1.8, 5.0, 7, regularization, -0.0552335309604, 0.00220432523347, 25.0568882131, 0.0281391838652, 0.00632218994381, 4.4508602423
1.8, 5.0, 8, regularization, -0.050695613846, 0.0438216805035, 1.15686147276, 0.0249424372582, 0.0435029516537, 0.573350458074
1.8, 5.0, 9, regularization, -0.0564063325868, 0.00200964741179, 28.0677755988, 0.029001621211, 0.00672988116415, 4.30938087963
1.8, 5.0, 10, regularization, -0.0196749658369, 0.124040916257, 0.158616740593, 0.0246401480094, 0.132138793855, 0.186471718793
1.8, 3.0, 6, no_regularization, -0.0347481513859, 0.00151340572076, 22.9602352556, 0.00405247291393, 0.0734696549393, 0.055158458513
1.8, 3.0, 7, no_regularization, -0.0344153383699, 0.00198195052831, 17.3643781105, 0.00202694786852, 0.079532648273, 0.0254857333753
1.8, 3.0, 8, no_regularization, -0.0345491436761, 0.00251921531964, 13.7142480068, 0.00997213420237, 0.0565502415874, 0.176341142362
1.8, 3.0, 9, no_regularization, -0.0343749722934, 0.00157569661222, 21.8157302788, 0.00302657344569, 0.0750172222534, 0.040345048174
1.8, 3.0, 10, no_regularization, -0.034925901614, 0.00331033297253, 10.5505705631, 0.0117377470107, 0.0515284600846, 0.227791534843
1.8, 3.0, 6, regularization, -0.0347281644198, 0.00214752242986, 16.1712697092, 0.0170484069639, 0.00436107435696, 3.90922180373
1.8, 3.0, 7, regularization, -0.0344113490335, 0.00243465634345, 14.1339656112, 0.0172271724045, 0.00425665921428, 4.04711101766
1.8, 3.0, 8, regularization, -0.0345301123122, 0.00256908435626, 13.4406300159, 0.0175934266302, 0.00489085129022, 3.5972115254
1.8, 3.0, 9, regularization, -0.0344055936191, 0.00224356193386, 15.335254668, 0.0171849076371, 0.00480753344493, 3.57457890495
1.8, 3.0, 10, regularization, -0.0349482709776, 0.00302757025453, 11.5433393908, 0.0176362969181, 0.00544320362349, 3.24005827046
1.4, 9.0, 6, no_regularization, -0.00123147683752, 0.428294809842, 0.00287530179966, -0.00134407461517, 0.515969149801, 0.00260495150861
1.4, 9.0, 7, no_regularization, -0.000355686591583, 0.363747134141, 0.000977840258241, -0.0831514338574, 0.511961339981, 0.162417408042
1.4, 9.0, 8, no_regularization, -0.0361492869294, 0.356791759362, 0.101317606085, -0.0918799647291, 0.429229035712, 0.214058130007
1.4, 9.0, 9, no_regularization, -0.0246377205502, 0.294687051771, 0.0836063899047, 0.0302919795744, 0.384340569838, 0.078815461993
1.4, 9.0, 10, no_regularization, 0.00100527152133, 0.40940017299, 0.00245547410004, 0.0610246255543, 0.690055196835, 0.0884344119634
1.4, 9.0, 6, regularization, 0.0472016821576, 0.375263898195, 0.125782635592, 0.0597255552635, 0.654951678683, 0.0911907812553
1.4, 9.0, 7, regularization, -0.0159491349184, 0.278246774385, 0.0573201071376, 0.0106342606982, 0.934886054964, 0.0113749270745
1.4, 9.0, 8, regularization, -0.0145606722175, 0.233840392535, 0.0622675666068, -0.0499971485635, 0.507520918819, 0.098512488273
1.4, 9.0, 9, regularization, -0.00972820555091, 0.209338700252, 0.0464711280771, 0.0485745066321, 0.348443605282, 0.13940421318
1.4, 9.0, 10, regularization, -0.00999820211784, 0.321810161309, 0.0310686339958, 0.062697430625, 0.63734580143, 0.098372705185
1.4, 3.0, 6, no_regularization, -0.0347481513298, 0.0015134059341, 22.960231982, 0.00405247282855, 0.0734696547826, 0.0551584574685
1.4, 3.0, 7, no_regularization, -0.0344153383937, 0.00198195042601, 17.3643790188, 0.00202694662458, 0.0795326483541, 0.0254857177088
1.4, 3.0, 8, no_regularization, -0.0345491440402, 0.00251921776347, 13.7142348475, 0.00997210297355, 0.0565502239614, 0.176340645094
1.4, 3.0, 9, no_regularization, -0.0343749723502, 0.00157569621537, 21.8157358093, 0.00302657370054, 0.075017221696, 0.040345051871
1.4, 3.0, 10, no_regularization, -0.0349259015578, 0.00331033419595, 10.5505666469, 0.011737749324, 0.0515284592603, 0.22779158338
1.4, 3.0, 6, regularization, -0.0347281645574, 0.00214752165996, 16.1712755708, 0.0170484066303, 0.00436107512364, 3.90922103999
1.4, 3.0, 7, regularization, -0.0344113490613, 0.00243465611296, 14.1339669607, 0.0172271720374, 0.00425665898533, 4.04711114909
1.4, 3.0, 8, regularization, -0.0345301119895, 0.00256908440575, 13.4406296314, 0.0175934262516, 0.00489085195401, 3.59721095977
1.4, 3.0, 9, regularization, -0.0344055935299, 0.00224356185214, 15.3352551868, 0.0171849089939, 0.00480753362572, 3.57457905274
1.4, 3.0, 10, regularization, -0.0349482709655, 0.00302757039786, 11.5433388404, 0.017636299149, 0.00544320083802, 3.24006033836
1.6, 3.0, 6, no_regularization, -0.0347481513974, 0.00151340589598, 22.9602326049, 0.00405247284256, 0.0734696548121, 0.0551584576371
1.6, 3.0, 7, no_regularization, -0.0344153384423, 0.00198195058145, 17.3643776815, 0.00202694655821, 0.0795326465528, 0.0254857174514
1.6, 3.0, 8, no_regularization, -0.0345491436573, 0.00251921836413, 13.7142314256, 0.00997209684611, 0.0565502221827, 0.176340542286
1.6, 3.0, 9, no_regularization, -0.0343749721464, 0.00157569606817, 21.815737718, 0.00302657319496, 0.075017221882, 0.0403450450314
1.6, 3.0, 10, no_regularization, -0.034925901929, 0.00331033301431, 10.5505705251, 0.0117377479877, 0.051528458499, 0.227791560812
1.6, 3.0, 6, regularization, -0.0347281645759, 0.00214752224752, 16.1712711549, 0.0170484066454, 0.00436107446026, 3.9092216381
1.6, 3.0, 7, regularization, -0.0344113490476, 0.00243465618298, 14.1339665486, 0.0172271716344, 0.00425665840603, 4.0471116052
1.6, 3.0, 8, regularization, -0.0345301120147, 0.00256908447673, 13.4406292699, 0.0175934255365, 0.0048908530148, 3.59721003336
1.6, 3.0, 9, regularization, -0.0344055936283, 0.0022435616848, 15.3352563744, 0.0171849113595, 0.0048075266975, 3.57458469621
1.6, 3.0, 10, regularization, -0.0349482709615, 0.00302757032407, 11.5433391204, 0.0176362998369, 0.00544320130534, 3.24006018656
1.2, 1.0, 6, no_regularization, -0.0125215039543, 0.000795647567767, 15.7375004481, 0.00630712486637, 0.00653975734995, 0.964427964046
1.2, 1.0, 7, no_regularization, -0.0123162813181, 0.00124302851143, 9.90828545355, -0.0016056444838, 0.0535313706234, 0.0299944586716
1.2, 1.0, 8, no_regularization, -0.0120944056282, 0.00117544667187, 10.289199772, 0.00576511889769, 0.0055502302548, 1.03871706813
1.2, 1.0, 9, no_regularization, -0.0119265194539, 0.000773250055826, 15.4238843749, 0.00600774683446, 0.00449829402829, 1.33556116979
1.2, 1.0, 10, no_regularization, -0.0120745909125, 0.00154416236876, 7.81950859364, 0.00617958340617, 0.00673790276845, 0.917137515713
1.2, 1.0, 6, regularization, -0.0124816696732, 0.00100139608855, 12.4642684507, 0.00568257379857, 0.00284485201633, 1.99749363621
1.2, 1.0, 7, regularization, -0.012319483725, 0.00123836770485, 9.94816295414, 0.00604382688167, 0.00252775463452, 2.39098637151
1.2, 1.0, 8, regularization, -0.012081141033, 0.00121904195253, 9.91035707009, 0.00567914723876, 0.00253750593497, 2.23808234712
1.2, 1.0, 9, regularization, -0.0119531462908, 0.00104222695785, 11.4688515786, 0.00588134506746, 0.00206062499919, 2.85415593316
1.2, 1.0, 10, regularization, -0.0120878257672, 0.00136996481999, 8.82345706314, 0.00588125643878, 0.00251104684466, 2.34215321442
2, 3.0, 6, no_regularization, -0.0347481513939, 0.00151340598266, 22.9602312876, 0.00405247281282, 0.0734696549588, 0.0551584571221
2, 3.0, 7, no_regularization, -0.0344153384267, 0.00198195067324, 17.3643768694, 0.00202694760343, 0.0795326495838, 0.0254857296222
2, 3.0, 8, no_regularization, -0.0345491436714, 0.0025192180291, 13.714233255, 0.00997209689943, 0.0565502218049, 0.176340544407
2, 3.0, 9, no_regularization, -0.0343749724688, 0.00157569623835, 21.8157355663, 0.00302657429233, 0.0750172181171, 0.0403450616845
2, 3.0, 10, no_regularization, -0.0349258789001, 0.00331033985566, 10.550541764, 0.0117378343391, 0.0515284850535, 0.227793119221
2, 3.0, 6, regularization, -0.0347281645539, 0.00214752242794, 16.1712697861, 0.0170484066531, 0.00436107465626, 3.90922146417
2, 3.0, 7, regularization, -0.0344113490209, 0.00243465659275, 14.1339641588, 0.0172271730825, 0.00425665721121, 4.04711308139
2, 3.0, 8, regularization, -0.0345301130117, 0.00256908355483, 13.440634481, 0.0175934280625, 0.0048908509876, 3.59721204082
2, 3.0, 9, regularization, -0.0344055935815, 0.00224356177714, 15.3352557224, 0.0171849057648, 0.0048075407065, 3.57457311626
2, 3.0, 10, regularization, -0.0349482485789, 0.00302758613512, 11.5432714443, 0.0176363904872, 0.00544315227291, 3.24010602734
2, 9.0, 6, no_regularization, -0.0399207627977, 0.306239234127, 0.130358093768, 0.0359540864281, 0.36508887232, 0.0984803678064
2, 9.0, 7, no_regularization, -0.0271916341062, 0.642124708004, 0.0423463445141, -0.0463069575603, 0.703026030281, 0.0658680554713
2, 9.0, 8, no_regularization, 0.00154039539243, 0.444852508938, 0.00346271036239, -0.0188467358305, 0.460943822185, 0.0408872728592
2, 9.0, 9, no_regularization, -0.122223650716, 0.712237592719, 0.171605166543, -0.0536938756948, 0.582083563469, 0.0922442739575
2, 9.0, 10, no_regularization, -0.0380659120366, 0.534098824602, 0.0712712896624, -0.00671091486528, 0.637333764952, 0.0105296710049
2, 9.0, 6, regularization, -0.0263148361579, 0.374843170782, 0.0702022557941, 0.0487676655027, 0.405370757446, 0.120303856672
2, 9.0, 7, regularization, 0.00316591343293, 0.544130501244, 0.00581829804741, -0.0694345573802, 0.695513142566, 0.0998321284398
2, 9.0, 8, regularization, -0.00351754228992, 0.309536637153, 0.011363896443, -0.00530821317935, 0.371300482902, 0.0142962732983
2, 9.0, 9, regularization, -0.132497797153, 0.710628479792, 0.186451571983, -0.0285992050835, 0.541944556711, 0.0527714592375
2, 9.0, 10, regularization, -0.0399681420939, 0.435648560092, 0.0917440013699, -0.0182976709981, 0.624482399859, 0.0293005391381
1.8, 11.0, 6, no_regularization, 0.0408347820673, 0.41822861229, 0.0976374663697, -0.147614864658, 0.792496390765, 0.186265661747
1.8, 11.0, 7, no_regularization, 0.0120802653888, 0.412418588141, 0.0292912728382, 0.0131996944656, 0.72936054006, 0.0180976262639
1.8, 11.0, 8, no_regularization, -0.0157801717789, 0.367562970675, 0.0429318866097, -0.0616300511964, 0.574427573811, 0.107289506991
1.8, 11.0, 9, no_regularization, 0.0119784986285, 0.481711329892, 0.0248665494981, 0.0101691832617, 0.692540682608, 0.0146838785317
1.8, 11.0, 10, no_regularization, -0.00444295537967, 0.310424224228, 0.0143125279308, -0.0675221224288, 0.382013025165, 0.176753455984
1.8, 11.0, 6, regularization, 0.0408691579386, 0.318624505918, 0.128267465871, -0.129686789321, 0.710082305181, 0.182636278041
1.8, 11.0, 7, regularization, 0.0215004379285, 0.205013701369, 0.104873175719, -0.00512429361982, 0.314243266527, 0.0163067730184
1.8, 11.0, 8, regularization, -0.0185437622894, 0.300637173096, 0.0616815349162, -0.0582788651506, 0.515095982842, 0.11314175822
1.8, 11.0, 9, regularization, 0.00834043157864, 0.370960399421, 0.0224833475262, -0.0671189905419, 0.569040733997, 0.117951117612
1.8, 11.0, 10, regularization, -0.018703369662, 0.500582784304, 0.0373631899628, -0.17554134034, 0.99168035288, 0.177014034644
2, 5.0, 6, no_regularization, -0.0452532792646, 0.151248431757, 0.299198337059, 0.0154087795794, 0.158537796495, 0.0971930979244
2, 5.0, 7, no_regularization, -0.055263537874, 0.00308143526112, 17.9343498048, 0.0121776555914, 0.0895484390518, 0.135989590889
2, 5.0, 8, no_regularization, -0.0455672508104, 0.102342825874, 0.445241280191, 0.024867911635, 0.0776272132583, 0.320350436286
2, 5.0, 9, no_regularization, -0.0563940505466, 0.00239510324998, 23.5455613644, 0.0164826649295, 0.0754440384989, 0.218475379334
2, 5.0, 10, no_regularization, -0.0564508642228, 0.0645501882341, 0.874526717383, 0.0151930441476, 0.123384981431, 0.123135279281
2, 5.0, 6, regularization, -0.0303927263298, 0.139505479845, 0.217860447945, 0.0223804901147, 0.147642045881, 0.151586155429
2, 5.0, 7, regularization, -0.0489353267625, 0.0710200233788, 0.689035632973, 0.0194912108822, 0.055815590125, 0.349207288476
2, 5.0, 8, regularization, -0.0475112040213, 0.0613833187851, 0.77400839449, 0.0279339302829, 0.0592079001904, 0.471793969945
2, 5.0, 9, regularization, -0.056400594009, 0.0020144665838, 27.9977808828, 0.0290264250797, 0.0067257240393, 4.31573238957
2, 5.0, 10, regularization, -0.0514089328845, 0.0467821088365, 1.09890157077, 0.0288909585812, 0.0774953154638, 0.372809097018
1.4, 11.0, 6, no_regularization, -0.0291870690508, 0.388177863189, 0.07518993693, -0.0225388507448, 0.531384675592, 0.0424153194099
1.4, 11.0, 7, no_regularization, -0.00953485597461, 0.33223663425, 0.0286989903932, -0.0491933392279, 0.411774835668, 0.119466599138
1.4, 11.0, 8, no_regularization, 0.000270906542804, 0.349953693793, 0.000774121112618, -0.059806527663, 0.480799657703, 0.124389705161
1.4, 11.0, 9, no_regularization, -0.00490281020784, 0.360597456749, 0.0135963527087, 0.00719933434971, 0.406909815056, 0.0176927026169
1.4, 11.0, 10, no_regularization, 0.00617564163357, 0.427162012188, 0.0144573755563, 0.0271219423929, 0.481279831385, 0.0563537896755
1.4, 11.0, 6, regularization, 0.0584128092877, 0.277044441414, 0.210842740571, 0.0145620884072, 0.538909075441, 0.0270214198847
1.4, 11.0, 7, regularization, 0.00739180176283, 0.410505204275, 0.0180065969587, -0.0185840930172, 0.550441233262, 0.0337621745868
1.4, 11.0, 8, regularization, -0.0346263845824, 0.293080659223, 0.118146262787, -0.0679432147747, 0.682882052163, 0.0994948023008
1.4, 11.0, 9, regularization, 0.0511903406937, 0.360797901444, 0.141880926937, -0.0666581958296, 0.592732498363, 0.112459154869
1.4, 11.0, 10, regularization, -0.0730129447216, 0.231772456021, 0.315019937981, 0.0488203313479, 0.332359185331, 0.146890272641
1.6, 1.0, 6, no_regularization, -0.0125215024856, 0.000795650438283, 15.7374418251, 0.00630712245655, 0.00653976044594, 0.964427138988
1.6, 1.0, 7, no_regularization, -0.012316281211, 0.00124302846116, 9.90828576807, -0.0016056444838, 0.0535313701848, 0.0299944589173
1.6, 1.0, 8, no_regularization, -0.0120944055966, 0.00117544666077, 10.2891998422, 0.00576511889769, 0.00555022972731, 1.03871716685
1.6, 1.0, 9, no_regularization, -0.0119265194348, 0.000773250173423, 15.4238820045, 0.00600774682603, 0.00449829387316, 1.33556121397
1.6, 1.0, 10, no_regularization, -0.0120745929872, 0.00154417276304, 7.81945730179, 0.00617958962117, 0.00673790089973, 0.91713869247
1.6, 1.0, 6, regularization, -0.0124816696739, 0.00100139605141, 12.4642689138, 0.00568257379994, 0.00284485208766, 1.99749358661
1.6, 1.0, 7, regularization, -0.0123194837222, 0.00123836815578, 9.94815932945, 0.00604382650394, 0.00252775564194, 2.39098526917
1.6, 1.0, 8, regularization, -0.0120811410339, 0.00121904195678, 9.91035703626, 0.00567914723876, 0.00253750640707, 2.23808193073
1.6, 1.0, 9, regularization, -0.0119531463522, 0.00104222678638, 11.4688535244, 0.00588134505928, 0.00206062492391, 2.85415603346
1.6, 1.0, 10, regularization, -0.0120878257257, 0.00136996501553, 8.82345577345, 0.00588125653156, 0.00251104677548, 2.3421533159
1.4, 1.0, 6, no_regularization, -0.0125215022626, 0.000795650519842, 15.7374399317, 0.00630712224507, 0.00653975921944, 0.964427287525
1.4, 1.0, 7, no_regularization, -0.0123162807439, 0.00124302894589, 9.9082815284, -0.0016056444838, 0.053531370567, 0.0299944587032
1.4, 1.0, 8, no_regularization, -0.0120944056026, 0.00117544665243, 10.2891999204, 0.00576511889769, 0.00555023021521, 1.03871707554
1.4, 1.0, 9, no_regularization, -0.0119265194539, 0.000773250054725, 15.4238843968, 0.00600774683446, 0.00449829399697, 1.33556117908
1.4, 1.0, 10, no_regularization, -0.0120745905711, 0.00154416356951, 7.81950229202, 0.006179583168, 0.00673790411312, 0.917137297334
1.4, 1.0, 6, regularization, -0.0124816696676, 0.00100139600688, 12.4642694616, 0.00568257337134, 0.00284485178883, 1.99749364577
1.4, 1.0, 7, regularization, -0.0123194837834, 0.00123836749267, 9.94816470579, 0.0060438265468, 0.00252775545652, 2.39098546152
1.4, 1.0, 8, regularization, -0.012081140921, 0.00121904213067, 9.91035553001, 0.00567914683514, 0.00253750640218, 2.23808177598
1.4, 1.0, 9, regularization, -0.011953146352, 0.00104222677511, 11.4688536482, 0.00588134506637, 0.00206062480238, 2.85415620523
1.4, 1.0, 10, regularization, -0.0120878257674, 0.00136996483787, 8.82345694815, 0.00588125644191, 0.00251104678275, 2.34215327341
1.8, 9.0, 6, no_regularization, 0.00158718043547, 0.325866876756, 0.0048706405857, 0.0330484326317, 0.383012582432, 0.0862855011756
1.8, 9.0, 7, no_regularization, -0.0219124077941, 0.566648508599, 0.0386701940649, -0.0249116888991, 0.687277331775, 0.0362469235451
1.8, 9.0, 8, no_regularization, -0.0599228930403, 0.314308948991, 0.190649656119, -0.0654004733505, 0.388559106484, 0.168315379203
1.8, 9.0, 9, no_regularization, -0.0645003282691, 0.613896584008, 0.10506709102, -0.0736680708285, 0.627941419716, 0.117316788661
1.8, 9.0, 10, no_regularization, -0.0922894492586, 0.377190364962, 0.244676051754, -0.0435406188632, 0.529001572126, 0.0823071634516
1.8, 9.0, 6, regularization, -0.00522304848481, 0.259522348333, 0.0201256212359, 0.0715657919831, 0.344718893833, 0.207606235873
1.8, 9.0, 7, regularization, -0.0202385835985, 0.532023491595, 0.0380407706018, 0.00251271283169, 0.607383652769, 0.00413694510913
1.8, 9.0, 8, regularization, -0.0286930865882, 0.325542978857, 0.0881391657992, -0.0933765789334, 0.437466163058, 0.213448688879
1.8, 9.0, 9, regularization, -0.0417252684217, 0.224352518816, 0.185980833387, 0.0376262248164, 0.290534293173, 0.12950700038
1.8, 9.0, 10, regularization, -0.0334619961729, 0.252203387943, 0.13267861485, -0.0102331086008, 0.32480200939, 0.0315056813228
1.8, 7.0, 6, no_regularization, -0.0489939261392, 0.243401435608, 0.201288566835, 0.0141902538219, 0.295270391951, 0.0480585057248
1.8, 7.0, 7, no_regularization, -0.0227422264294, 0.223417993951, 0.101792277458, 0.0242915553409, 0.211418198503, 0.11489812851
1.8, 7.0, 8, no_regularization, -0.0896189236363, 0.326941608769, 0.274112934031, 0.0379729226794, 0.401722920203, 0.0945251584354
1.8, 7.0, 9, no_regularization, 0.0194774262399, 0.474092164877, 0.0410836282117, 0.00580458379318, 0.306484168965, 0.0189392614071
1.8, 7.0, 10, no_regularization, 0.0182490989951, 0.415966736796, 0.043871534382, 0.0279424496966, 0.486293149197, 0.0574600932437
1.8, 7.0, 6, regularization, -0.0426179459315, 0.222528092486, 0.191517149387, 0.0194214542242, 0.294999082168, 0.0658356428824
1.8, 7.0, 7, regularization, -0.022798887494, 0.162382189977, 0.140402635888, 0.0442342709819, 0.157830772444, 0.28026392
1.8, 7.0, 8, regularization, 0.0251259373642, 0.276947345289, 0.0907246008731, 0.0130866850928, 0.358729900091, 0.0364806086404
1.8, 7.0, 9, regularization, -0.0198126831018, 0.200347972709, 0.09889135804, 0.0196663421971, 0.284132396967, 0.0692154164996
1.8, 7.0, 10, regularization, 0.0132389510164, 0.223761187383, 0.0591655379164, -0.00880211352857, 0.384772653331, 0.0228761411508
1.4, 5.0, 6, no_regularization, -0.0375022623341, 0.181625551624, 0.206481202666, -0.00536639419089, 0.215900502223, 0.0248558671037
1.4, 5.0, 7, no_regularization, -0.0489733066526, 0.127928733618, 0.382817098768, 0.000632668354222, 0.145910037046, 0.00433601667869
1.4, 5.0, 8, no_regularization, -0.0580558183714, 0.15761195466, 0.368346541331, 0.0230476511302, 0.176502054818, 0.130580072589
1.4, 5.0, 9, no_regularization, -0.0563947660668, 0.00243143520536, 23.1940238187, 0.0158117997617, 0.0783372381888, 0.201842701215
1.4, 5.0, 10, no_regularization, -0.0599893597784, 0.0907416563682, 0.661100559318, 0.0159072436296, 0.119816538238, 0.132763338547
1.4, 5.0, 6, regularization, -0.0374275479612, 0.125369279545, 0.298538430604, 0.01352012135, 0.161220670113, 0.0838609673344
1.4, 5.0, 7, regularization, -0.0482526063533, 0.0732407544007, 0.658821809634, 0.0151458630226, 0.14115797748, 0.107297251583
1.4, 5.0, 8, regularization, -0.0584784393723, 0.100810280746, 0.580084084079, 0.0225123891688, 0.159433968916, 0.141201961677
1.4, 5.0, 9, regularization, -0.0564028187961, 0.00202875947732, 27.8016292353, 0.0290023002067, 0.00661564170427, 4.38389826765
1.4, 5.0, 10, regularization, -0.0584026898383, 0.0285805074906, 2.04344481488, 0.026623620086, 0.0464041991157, 0.573732993854
2, 7.0, 6, no_regularization, -0.0582013025221, 0.152666282917, 0.381232197509, 0.0288676481676, 0.13885769121, 0.207893764588
2, 7.0, 7, no_regularization, -0.0636491671114, 0.122006811757, 0.521685356701, 0.0270421718498, 0.13420683294, 0.201496237244
2, 7.0, 8, no_regularization, -0.0628010268823, 0.166162466768, 0.377949533995, 0.0233890696433, 0.19362429342, 0.120796152333
2, 7.0, 9, no_regularization, -0.00833802808866, 0.465867758485, 0.01789784319, 0.0057737020381, 0.452965370486, 0.0127464535135
2, 7.0, 10, no_regularization, 0.0111231856967, 0.494742850423, 0.0224827618777, -0.0570824957979, 0.481431774885, 0.118568193409
2, 7.0, 6, regularization, -0.0543550194695, 0.166506715679, 0.326443406488, 0.0249154877117, 0.183766460473, 0.135582345373
2, 7.0, 7, regularization, -0.0707461326342, 0.0443284034236, 1.59595489957, 0.0411462624715, 0.0393343686422, 1.04606388489
2, 7.0, 8, regularization, -0.0642148676548, 0.0987802142752, 0.650078238097, 0.0382151465879, 0.151752308839, 0.251825800084
2, 7.0, 9, regularization, -0.0071274453957, 0.403770195129, 0.017652232586, 0.0113512566852, 0.437379372597, 0.02595288529
2, 7.0, 10, regularization, -0.0428419999465, 0.251427824717, 0.17039482402, 0.0356661231773, 0.286628117937, 0.124433441611
2, 0.5, 6, no_regularization, -0.00635101652151, 0.000592818645347, 10.7132536592, 0.0028099839228, 0.00291268874704, 0.964738826163
2, 0.5, 7, no_regularization, -0.00616735148611, 0.000819882463893, 7.52223856188, 0.00266660904465, 0.00617327638951, 0.431960093214
2, 0.5, 8, no_regularization, -0.00631551058851, 0.000704618160813, 8.96302556439, 0.00291793341955, 0.00327062416343, 0.892164086652
2, 0.5, 9, no_regularization, -0.00604715023455, 0.000591923770872, 10.2160962815, 0.00280808794995, 0.0033055456858, 0.849508134774
